timestamp,accX,accY,accZ
2,0.56,0.23,0.79
15,0.55,0.23,0.78
28,0.56,0.23,0.77
41,0.56,0.22,0.77
54,0.56,0.21,0.77
67,0.56,0.20,0.77
81,0.56,0.20,0.76
95,0.56,0.20,0.76
109,0.56,0.21,0.76
123,0.55,0.21,0.75
136,0.56,0.22,0.76
149,0.56,0.23,0.77
162,0.58,0.22,0.78
175,0.58,0.23,0.78
189,0.58,0.23,0.79
203,0.57,0.23,0.79
216,0.55,0.23,0.79
229,0.56,0.23,0.79
242,0.56,0.22,0.79
255,0.56,0.22,0.79
269,0.57,0.22,0.79
282,0.57,0.22,0.79
296,0.57,0.22,0.79
310,0.58,0.22,0.81
324,0.59,0.24,0.81
338,0.59,0.28,0.84
351,0.59,0.30,0.84
364,0.62,0.35,0.91
378,0.62,0.40,1.00
392,0.65,0.44,1.06
406,0.67,0.51,1.17
420,0.66,0.52,1.20
433,0.63,0.46,1.20
446,0.62,0.38,1.22
459,0.60,0.37,1.22
472,0.54,0.35,1.17
485,0.53,0.31,1.13
498,0.52,0.17,1.00
512,0.53,0.10,0.94
525,0.55,-0.02,0.81
539,0.56,-0.05,0.75
553,0.57,-0.14,0.57
566,0.62,-0.21,0.41
580,0.64,-0.22,0.35
594,0.69,-0.16,0.27
607,0.71,-0.11,0.21
621,0.75,-0.05,0.10
635,0.77,-0.09,0.05
649,0.80,-0.12,0.03
663,0.82,-0.15,0.02
677,0.83,-0.17,-0.01
691,0.84,-0.19,-0.02
705,0.86,-0.22,-0.02
719,0.86,-0.22,-0.00
732,0.87,-0.20,0.00
745,0.89,-0.14,0.05
759,0.88,-0.11,0.08
773,0.87,-0.11,0.13
787,0.88,-0.13,0.15
801,0.91,-0.12,0.17
815,0.94,-0.04,0.25
829,0.94,0.01,0.31
843,0.93,0.08,0.41
857,0.93,0.08,0.47
871,0.91,0.05,0.50
885,0.88,-0.06,0.54
898,0.93,-0.08,0.67
912,0.92,-0.08,0.77
926,0.88,0.05,0.95
940,0.85,0.08,1.01
954,0.83,0.05,1.03
968,0.81,-0.08,0.97
982,0.80,-0.15,0.93
996,0.82,-0.22,0.85
1009,0.89,-0.21,0.75
1022,0.89,-0.20,0.66
1036,0.87,-0.22,0.45
1050,0.87,-0.26,0.34
1064,0.85,-0.30,0.11
1078,0.82,-0.33,-0.06
1092,0.81,-0.34,-0.14
1106,0.81,-0.37,-0.25
1119,0.81,-0.39,-0.31
1133,0.81,-0.45,-0.38
1147,0.83,-0.49,-0.41
1161,0.84,-0.48,-0.42
1175,0.83,-0.42,-0.39
1189,0.82,-0.36,-0.35
1202,0.80,-0.33,-0.31
1216,0.76,-0.27,-0.25
1230,0.74,-0.26,-0.22
1244,0.70,-0.26,-0.17
1258,0.63,-0.27,-0.10
1272,0.59,-0.27,-0.08
1286,0.51,-0.26,-0.04
1300,0.48,-0.16,0.07
1314,0.44,-0.08,0.12
1328,0.40,0.13,0.13
1342,0.35,0.32,0.18
1355,0.31,0.40,0.23
1368,0.37,0.65,0.40
1382,0.40,0.84,0.51
1395,0.45,1.23,0.82
1409,0.45,1.36,1.03
1423,0.44,1.21,1.59
1437,0.44,0.89,2.08
1451,0.45,0.80,2.21
1465,0.48,0.70,2.31
1479,0.51,0.62,2.40
1493,0.47,0.60,2.41
1507,0.48,0.59,2.25
1521,0.50,0.63,2.02
1535,0.50,0.75,1.95
1548,0.44,0.90,1.78
1561,0.41,0.89,1.68
1575,0.34,0.74,1.42
1589,0.29,0.51,1.12
1603,0.26,0.41,0.97
1617,0.28,0.25,0.67
1631,0.32,0.21,0.38
1645,0.36,0.18,0.25
1659,0.46,0.10,0.04
1673,0.48,0.03,-0.05
1687,0.55,-0.10,-0.21
1701,0.58,-0.22,-0.40
1715,0.60,-0.28,-0.44
1729,0.63,-0.39,-0.54
1743,0.65,-0.46,-0.60
1757,0.66,-0.49,-0.63
1771,0.69,-0.55,-0.64
1785,0.70,-0.59,-0.62
1799,0.71,-0.61,-0.59
1813,0.73,-0.61,-0.51
1827,0.73,-0.60,-0.41
1841,0.70,-0.56,-0.40
1855,0.63,-0.57,-0.34
1869,0.58,-0.58,-0.31
1883,0.47,-0.54,-0.25
1897,0.41,-0.43,-0.11
1911,0.37,-0.32,-0.06
1925,0.34,-0.04,0.01
1939,0.32,0.31,0.16
1953,0.29,0.49,0.27
1966,0.26,0.76,0.55
1980,0.31,0.86,0.73
1994,0.42,0.98,1.07
2008,0.50,0.95,1.39
2022,0.51,0.91,1.57
2036,0.53,0.85,1.77
2049,0.61,0.81,1.79
2063,0.63,0.76,1.75
2076,0.61,0.62,1.63
2090,0.61,0.55,1.54
2103,0.60,0.46,1.33
2116,0.59,0.43,1.23
2130,0.53,0.41,1.03
2144,0.49,0.39,0.84
2158,0.49,0.38,0.74
2172,0.49,0.38,0.66
2186,0.48,0.42,0.62
2200,0.50,0.42,0.60
2214,0.54,0.41,0.59
2227,0.54,0.41,0.59
2241,0.57,0.42,0.60
2255,0.60,0.45,0.60
2268,0.60,0.45,0.61
2282,0.60,0.47,0.64
2296,0.61,0.48,0.66
2309,0.61,0.53,0.64
2323,0.63,0.58,0.58
2336,0.62,0.62,0.54
2349,0.60,0.65,0.49
2362,0.58,0.63,0.48
2376,0.54,0.54,0.50
2390,0.49,0.50,0.47
2404,0.48,0.45,0.45
2418,0.45,0.43,0.46
2431,0.43,0.44,0.47
2445,0.38,0.45,0.57
2458,0.33,0.43,0.75
2472,0.29,0.38,0.85
2486,0.23,0.38,1.05
2499,0.23,0.38,1.19
2512,0.22,0.47,1.47
2526,0.24,0.53,1.57
2540,0.27,0.58,1.75
2554,0.27,0.51,1.87
2568,0.26,0.49,1.89
2581,0.26,0.52,1.83
2594,0.27,0.54,1.78
2607,0.25,0.56,1.68
2621,0.25,0.59,1.54
2634,0.24,0.58,1.47
2647,0.24,0.53,1.29
2660,0.23,0.50,1.19
2674,0.22,0.42,0.99
2688,0.23,0.37,0.90
2702,0.25,0.29,0.68
2716,0.31,0.22,0.48
2729,0.35,0.18,0.36
