timestamp,accX,accY,accZ
2,1.00,0.01,0.01
16,1.00,0.01,0.01
30,1.00,0.01,0.01
43,1.00,0.02,0.01
56,1.00,0.02,0.01
69,1.00,0.03,0.01
82,1.00,0.03,0.01
95,1.00,0.02,0.01
109,1.00,0.02,0.01
122,0.99,0.01,0.01
135,0.99,0.01,0.01
148,0.99,0.00,0.01
161,1.00,0.00,0.01
174,1.00,0.00,0.01
187,1.00,0.01,0.00
200,1.00,0.02,0.00
213,1.00,0.02,0.00
226,1.00,0.01,-0.00
240,1.00,0.01,-0.00
253,1.00,0.01,-0.00
267,1.00,0.01,-0.00
281,1.00,0.01,-0.01
294,1.00,0.02,-0.02
307,1.00,0.02,-0.02
321,1.00,0.02,-0.02
335,1.00,0.02,-0.02
348,0.99,0.02,-0.02
361,0.99,0.02,-0.02
374,0.98,0.01,-0.02
387,0.96,-0.00,-0.02
400,0.96,-0.02,-0.02
414,0.95,-0.04,-0.02
428,0.94,-0.06,-0.02
442,0.92,-0.09,-0.02
455,0.91,-0.12,-0.01
469,0.89,-0.12,-0.01
483,0.85,-0.16,-0.00
497,0.85,-0.18,0.00
510,0.84,-0.19,0.01
524,0.85,-0.14,-0.00
538,0.84,-0.11,-0.01
552,0.83,-0.05,-0.02
566,0.83,-0.01,-0.02
580,0.82,0.01,-0.02
594,0.82,0.05,-0.01
607,0.82,0.06,-0.01
620,0.83,0.11,-0.02
634,0.83,0.17,-0.02
647,0.82,0.18,-0.02
661,0.80,0.21,-0.02
675,0.79,0.22,-0.02
689,0.76,0.23,-0.01
703,0.77,0.23,0.00
716,0.79,0.25,0.00
729,0.77,0.33,-0.02
743,0.77,0.36,-0.04
757,0.77,0.42,-0.05
770,0.77,0.43,-0.04
784,0.79,0.47,-0.04
797,0.80,0.50,-0.04
810,0.79,0.52,-0.04
824,0.78,0.53,-0.04
838,0.77,0.52,-0.03
852,0.75,0.52,-0.02
865,0.72,0.52,0.00
878,0.71,0.53,0.01
891,0.70,0.54,0.03
904,0.69,0.55,0.04
917,0.69,0.60,0.04
930,0.68,0.62,0.03
943,0.66,0.69,0.01
956,0.64,0.71,0.01
969,0.63,0.75,0.02
983,0.62,0.77,0.03
996,0.62,0.79,0.04
1009,0.61,0.80,0.05
1022,0.61,0.84,0.04
1035,0.58,0.88,0.03
1048,0.57,0.89,0.02
1061,0.56,0.94,0.01
1074,0.53,0.93,0.02
1087,0.52,0.91,0.02
1100,0.52,0.92,0.01
1114,0.49,0.94,-0.01
1128,0.49,0.94,-0.01
1141,0.47,0.93,-0.03
1155,0.47,0.93,-0.04
1169,0.46,0.93,-0.05
1182,0.44,0.92,-0.06
1196,0.43,0.93,-0.07
1209,0.40,0.93,-0.08
1222,0.40,0.93,-0.08
1235,0.40,0.94,-0.10
1249,0.37,0.95,-0.12
1263,0.35,0.96,-0.13
1276,0.30,0.96,-0.13
1290,0.29,0.95,-0.12
1304,0.28,0.92,-0.11
1318,0.25,0.93,-0.10
1332,0.24,0.93,-0.11
1345,0.22,0.94,-0.11
1358,0.21,0.95,-0.10
1372,0.18,0.98,-0.10
1385,0.14,1.02,-0.09
1398,0.11,1.03,-0.09
1411,0.08,1.01,-0.07
1424,0.08,1.00,-0.06
1437,0.05,0.99,-0.06
1450,0.04,0.98,-0.05
1463,0.01,1.04,-0.06
1477,0.01,1.09,-0.07
1491,0.01,1.20,-0.11
1504,0.01,1.23,-0.11
1518,0.02,1.22,-0.10
1531,0.10,1.21,-0.08
1544,0.11,1.22,-0.10
1557,0.10,1.26,-0.09
1571,0.09,1.24,-0.06
1585,0.01,1.34,-0.12
1598,-0.00,1.36,-0.09
1612,0.03,1.38,-0.05
1626,0.10,1.39,0.02
1640,0.13,1.40,-0.02
1653,0.11,1.44,-0.05
1666,0.04,1.38,-0.10
1679,0.00,1.32,-0.11
1693,-0.06,1.16,-0.12
1707,-0.09,1.10,-0.12
1721,-0.14,0.99,-0.12
1735,-0.17,0.92,-0.13
1749,-0.17,0.89,-0.14
1763,-0.16,0.85,-0.14
1777,-0.16,0.84,-0.15
1791,-0.15,0.85,-0.15
1804,-0.15,0.88,-0.15
1818,-0.15,0.90,-0.15
1832,-0.13,0.90,-0.14
1845,-0.12,0.93,-0.13
1859,-0.13,0.94,-0.13
1873,-0.12,0.98,-0.12
1887,-0.11,1.00,-0.12
1901,-0.12,0.99,-0.12
1914,-0.11,1.00,-0.11
1928,-0.10,1.02,-0.11
1941,-0.09,1.03,-0.12
1954,-0.09,1.03,-0.12
1968,-0.10,1.03,-0.12
1982,-0.11,1.02,-0.12
1996,-0.11,1.01,-0.12
2010,-0.10,0.99,-0.12
2024,-0.11,0.98,-0.12
2038,-0.11,0.98,-0.12
2052,-0.12,0.98,-0.13
2066,-0.12,0.98,-0.12
2079,-0.12,0.98,-0.12
2093,-0.12,0.97,-0.12
2107,-0.11,0.97,-0.12
2121,-0.12,0.97,-0.12
2135,-0.13,0.97,-0.12
2148,-0.12,0.97,-0.11
2162,-0.12,0.98,-0.11
2176,-0.11,0.98,-0.11
2190,-0.11,0.99,-0.11
2204,-0.12,1.00,-0.11
2218,-0.12,0.99,-0.11
2232,-0.11,0.97,-0.11
2246,-0.11,0.98,-0.11
2260,-0.12,0.99,-0.11
2274,-0.12,0.98,-0.12
2288,-0.12,0.97,-0.12
2301,-0.12,0.96,-0.12
2315,-0.12,0.96,-0.11
2328,-0.12,0.96,-0.11
2342,-0.11,0.97,-0.12
2355,-0.11,0.97,-0.12
2369,-0.12,0.99,-0.12
2383,-0.12,0.99,-0.12
2397,-0.12,0.99,-0.12
2411,-0.12,0.98,-0.12
2424,-0.12,0.98,-0.12
2438,-0.12,0.98,-0.12
2452,-0.12,0.99,-0.12
2466,-0.12,0.98,-0.12
2480,-0.12,0.98,-0.12
2494,-0.12,0.97,-0.12
2508,-0.12,0.96,-0.12
2522,-0.12,0.96,-0.12
2535,-0.12,0.96,-0.12
2549,-0.12,0.98,-0.12
2562,-0.12,0.98,-0.12
2576,-0.12,0.99,-0.12
2590,-0.12,0.99,-0.12
2603,-0.12,0.99,-0.12
2616,-0.12,0.97,-0.12
2630,-0.12,0.97,-0.12
2644,-0.11,0.97,-0.12
2658,-0.11,0.98,-0.12
2672,-0.12,0.98,-0.13
2685,-0.12,0.98,-0.12
2698,-0.11,0.98,-0.12
