timestamp,accX,accY,accZ
1,0.96,0.29,0.04
15,0.96,0.29,0.04
28,0.96,0.29,0.04
41,0.96,0.29,0.04
54,0.96,0.29,0.04
67,0.96,0.30,0.04
80,0.96,0.31,0.03
93,0.96,0.31,0.03
107,0.96,0.30,0.04
120,0.95,0.29,0.05
133,0.96,0.28,0.05
146,0.95,0.27,0.06
159,0.95,0.28,0.06
172,0.95,0.27,0.06
185,0.95,0.27,0.06
198,0.95,0.28,0.05
211,0.95,0.28,0.05
224,0.96,0.29,0.05
238,0.96,0.28,0.05
251,0.96,0.28,0.06
264,0.96,0.28,0.06
278,0.95,0.28,0.07
291,0.94,0.29,0.08
304,0.92,0.29,0.10
318,0.91,0.27,0.18
331,0.91,0.27,0.26
344,0.90,0.28,0.29
358,0.91,0.32,0.29
371,0.90,0.33,0.30
385,0.89,0.32,0.31
398,0.88,0.30,0.30
411,0.87,0.27,0.29
425,0.86,0.25,0.27
439,0.86,0.26,0.25
452,0.86,0.27,0.21
465,0.87,0.28,0.18
478,0.86,0.31,0.12
492,0.87,0.31,0.09
505,0.88,0.32,0.04
518,0.87,0.33,0.00
531,0.87,0.33,-0.02
544,0.87,0.32,-0.03
557,0.87,0.32,-0.05
571,0.88,0.33,-0.08
584,0.87,0.33,-0.11
597,0.86,0.32,-0.15
610,0.86,0.32,-0.16
623,0.85,0.31,-0.18
637,0.85,0.31,-0.18
651,0.85,0.32,-0.20
664,0.85,0.35,-0.25
677,0.84,0.36,-0.28
691,0.83,0.37,-0.32
705,0.82,0.36,-0.33
719,0.81,0.34,-0.34
733,0.80,0.33,-0.36
747,0.79,0.33,-0.37
761,0.78,0.31,-0.39
775,0.75,0.31,-0.41
789,0.75,0.29,-0.41
803,0.75,0.29,-0.41
817,0.72,0.31,-0.43
831,0.71,0.31,-0.44
845,0.70,0.30,-0.44
858,0.68,0.31,-0.44
872,0.66,0.31,-0.42
886,0.65,0.32,-0.39
899,0.65,0.34,-0.39
912,0.64,0.40,-0.39
926,0.63,0.43,-0.41
940,0.60,0.50,-0.43
953,0.60,0.53,-0.43
966,0.59,0.55,-0.43
979,0.60,0.56,-0.43
993,0.59,0.58,-0.44
1006,0.59,0.62,-0.47
1019,0.58,0.64,-0.49
1033,0.54,0.70,-0.53
1047,0.53,0.71,-0.52
1060,0.54,0.71,-0.52
1074,0.54,0.73,-0.51
1088,0.53,0.73,-0.51
1102,0.55,0.77,-0.53
1115,0.53,0.82,-0.56
1129,0.51,0.83,-0.55
1142,0.49,0.83,-0.54
1155,0.48,0.82,-0.52
1169,0.48,0.83,-0.51
1183,0.47,0.84,-0.50
1197,0.44,0.86,-0.48
1211,0.42,0.87,-0.45
1224,0.39,0.87,-0.44
1237,0.35,0.87,-0.38
1251,0.34,0.87,-0.34
1264,0.33,0.89,-0.29
1278,0.32,0.95,-0.25
1292,0.31,1.00,-0.22
1306,0.30,1.06,-0.17
1319,0.30,1.07,-0.14
1332,0.29,1.08,-0.10
1345,0.30,1.08,-0.10
1358,0.30,1.09,-0.11
1372,0.27,1.10,-0.14
1385,0.26,1.09,-0.15
1398,0.25,1.09,-0.17
1412,0.25,1.09,-0.18
1425,0.24,1.09,-0.19
1439,0.23,1.12,-0.19
1453,0.23,1.14,-0.18
1467,0.23,1.18,-0.17
1480,0.22,1.19,-0.16
1494,0.21,1.21,-0.13
1508,0.20,1.21,-0.09
1522,0.20,1.21,-0.07
1535,0.21,1.22,-0.06
1548,0.21,1.25,-0.06
1562,0.21,1.30,-0.07
1575,0.21,1.32,-0.06
1588,0.22,1.31,-0.03
1601,0.23,1.31,0.01
1614,0.24,1.29,0.02
1627,0.25,1.30,0.04
1641,0.25,1.31,0.06
1655,0.28,1.38,0.04
1668,0.29,1.39,0.03
1681,0.32,1.38,0.03
1694,0.33,1.37,0.02
1708,0.33,1.39,-0.02
1721,0.31,1.40,-0.04
1734,0.30,1.39,-0.04
1748,0.29,1.36,-0.02
1761,0.30,1.34,0.00
1775,0.31,1.32,0.01
1788,0.31,1.30,0.03
1802,0.33,1.23,0.07
1815,0.36,1.19,0.08
1829,0.35,1.18,0.09
1842,0.34,1.16,0.16
1855,0.34,1.13,0.20
1868,0.37,1.05,0.27
1881,0.39,1.01,0.29
1894,0.43,0.96,0.29
1907,0.45,0.95,0.29
1921,0.48,0.95,0.30
1934,0.49,0.87,0.32
1947,0.49,0.82,0.33
1960,0.51,0.73,0.34
1973,0.52,0.71,0.33
1986,0.53,0.69,0.32
1999,0.55,0.67,0.32
2012,0.59,0.63,0.33
2025,0.59,0.61,0.34
2039,0.60,0.56,0.34
2052,0.59,0.54,0.33
2065,0.61,0.47,0.32
2078,0.63,0.44,0.32
2092,0.66,0.41,0.30
2106,0.69,0.41,0.27
2119,0.70,0.42,0.26
2132,0.72,0.41,0.23
2145,0.74,0.40,0.23
2158,0.75,0.39,0.21
2171,0.75,0.37,0.21
2184,0.76,0.34,0.20
2197,0.76,0.34,0.18
2210,0.77,0.34,0.15
2223,0.78,0.33,0.15
2236,0.81,0.32,0.14
2250,0.82,0.30,0.14
2263,0.82,0.29,0.14
2276,0.82,0.27,0.13
2289,0.81,0.26,0.12
2303,0.80,0.25,0.11
2316,0.81,0.23,0.11
2329,0.83,0.20,0.11
2342,0.84,0.19,0.11
2355,0.85,0.19,0.10
2368,0.85,0.18,0.10
2381,0.87,0.17,0.09
2394,0.87,0.13,0.08
2408,0.87,0.15,0.08
2422,0.88,0.15,0.08
2435,0.87,0.16,0.08
2448,0.87,0.15,0.08
2461,0.87,0.15,0.08
2474,0.86,0.14,0.07
2487,0.86,0.13,0.07
2500,0.87,0.13,0.09
2513,0.88,0.13,0.09
2526,0.89,0.13,0.08
2540,0.88,0.14,0.05
2553,0.87,0.14,0.04
2566,0.87,0.13,0.02
2579,0.86,0.12,0.02
2593,0.86,0.13,0.01
2607,0.87,0.12,-0.03
2621,0.88,0.14,-0.02
2634,0.89,0.17,-0.05
2647,0.90,0.18,-0.07
2660,0.90,0.20,-0.11
